ID,CONS_NO,METER_CODE,CT,PT,OVERALL,DATA_DATE,PHASE
0,6623660203,1527664029,1.0,240.0,240.0,2017/11/30,总有功功率
1,6623660203,1527664029,1.0,240.0,240.0,2017/11/29,总有功功率
2,6623660203,1527664029,1.0,240.0,240.0,2017/11/28,总有功功率
3,6623660203,1527664029,1.0,240.0,240.0,2019/07/02,总有功功率
4,6623660203,1527664029,1.0,240.0,240.0,2019/07/02,总有功功率
9,6622459060,1524668010,1.0,1.0,1.0,2017/11/30,总有功功率
49,6623660203,1527664029,1.0,240.0,240.0,2017/11/20,总有功功率
50,6623660203,1527664029,1.0,240.0,240.0,2017/11/21,总有功功率
51,6623660203,1527664029,1.0,240.0,240.0,2017/11/22,总有功功率
52,6623660203,1527664029,1.0,240.0,240.0,2017/11/22,A相
53,6623660203,1527664029,1.0,240.0,240.0,2017/11/22,B相
54,6623660203,1527664029,1.0,240.0,240.0,2017/11/22,C相
55,6623660203,1527664029,1.0,240.0,240.0,2017/11/23,总有功功率
56,6623660203,1527664029,1.0,240.0,240.0,2017/11/24,总有功功率
57,6623660203,1527664029,1.0,240.0,240.0,2017/11/25,总有功功率
58,6623660203,1527664029,1.0,240.0,240.0,2017/11/26,总有功功率
